date,temperature,humidity,co_ppm,pcl_concentration
"15/8/2023, 10:42:48","24,9","44,2","5,9",0
"15/8/2023, 10:42:54","24,8","43,8","6,28","4475770,5"
"15/8/2023, 10:42:58","24,8","45,1","5,63","2512539,5"
"15/8/2023, 10:43:03","24,9","46,1","6,4","1344660,87"
"15/8/2023, 10:43:08","24,8","45,4","5,99","8,59"
"15/8/2023, 10:43:13","24,8","44,6","6,19",0
"15/8/2023, 10:43:19","24,8","44,1","5,55","782096,56"
"15/8/2023, 10:43:24","24,8","43,8","6,11",1146084
"15/8/2023, 10:43:28","24,8","43,7","7,27",0
"15/8/2023, 10:43:33","24,8","43,6","7,12","318199,41"
"15/8/2023, 10:43:38","24,8","43,5","7,09","784911,12"
"15/8/2023, 10:43:43","24,8","43,5","5,32","668262,87"
"15/8/2023, 10:43:48","24,8","43,4","6,87","694865,69"
"15/8/2023, 10:43:53","24,8","43,4","5,59","214,87"
"15/8/2023, 10:43:58","24,8","43,4","6,86","313,9"
"15/8/2023, 10:44:03","24,8","43,4","6,82",0
"15/8/2023, 10:44:08","24,8","43,4","5,21","452871,84"
"15/8/2023, 10:44:13","24,8","43,4","7,2",0
"15/8/2023, 10:44:18","24,7","43,4","6,42","544640,12"
"15/8/2023, 10:44:23","24,7","43,4","5,82",449805
"15/8/2023, 10:44:28","24,7","43,5","5,83","390488,97"
"15/8/2023, 10:44:33","24,7","43,5","6,84",0
"15/8/2023, 10:44:38","24,7","43,5","5,34",0
"15/8/2023, 10:44:43","24,7","43,5","6,68","331327,38"
"15/8/2023, 10:44:48","24,7","43,3","7,3","307976,5"
"15/8/2023, 10:44:54","24,7","43,2","6,85","326929,69"
"15/8/2023, 10:44:58","24,7","43,2","5,98","328178,81"
"15/8/2023, 10:45:03","24,7","43,3","5,43",0
"15/8/2023, 10:45:08","24,6","43,3","7,04","217059,95"
"15/8/2023, 10:45:14","24,6","43,8","7,07",0
"15/8/2023, 10:45:19","24,6","44,3","5,96","90827,45"
"15/8/2023, 10:45:23","24,6",44,"5,09","2457,66"
"15/8/2023, 10:45:28","24,6","43,8","7,06","168536,41"
"15/8/2023, 10:45:34","24,6","43,7","5,19","269770,88"
"15/8/2023, 10:45:38","24,6","43,6","5,39",0
"15/8/2023, 10:45:43","24,6","43,5","7,27","258984,91"
"15/8/2023, 10:45:49","24,6","43,6","5,9","245903,7"
"15/8/2023, 10:45:53","24,6","43,6","6,27","173282,94"
"15/8/2023, 10:45:58","24,6","43,6","6,7","286753,59"
"15/8/2023, 10:46:03","24,5","43,6","5,59","261018,69"
"15/8/2023, 10:46:08","24,6","43,6","4,52",0
"15/8/2023, 10:46:13","24,6","43,6","3,92","178023,77"
"15/8/2023, 10:46:18","24,6","43,5","4,38","131829,36"
"15/8/2023, 10:46:24","24,6","43,6","4,82","197589,2"
"15/8/2023, 10:46:29","24,6","43,6","8,08",0
"15/8/2023, 10:46:33","24,6","43,6","7,34","70274,87"
"15/8/2023, 10:46:38","24,6","43,6","5,77","150983,67"
"15/8/2023, 10:46:43","24,6","43,5","7,09","221465,16"
"15/8/2023, 10:46:49","24,5","43,5","7,4","185835,86"
"15/8/2023, 10:46:53","24,5","43,5","6,57",0
"15/8/2023, 10:46:58","24,5","43,5","6,22","129,1"
"15/8/2023, 10:47:03","24,5","43,6","5,18",0
"15/8/2023, 10:47:08","24,5","43,6","5,2","146618,89"
"15/8/2023, 10:47:13","24,5","43,8","5,69",0
"15/8/2023, 10:47:19","24,5","43,9","5,83","162605,89"
"15/8/2023, 10:47:23","24,5","44,2","5,95","160159,33"
"15/8/2023, 10:47:28","24,5","45,5","5,73","94314,66"
"15/8/2023, 10:47:33","24,4",46,"5,55","99660,41"
"15/8/2023, 10:47:38","24,5","46,7","3,81",0
"15/8/2023, 10:47:43","24,4","46,3","5,94","157419,5"
"15/8/2023, 10:47:49","24,5","45,5","5,94","171016,09"
"15/8/2023, 10:47:53","24,4","44,8","5,82",0
"15/8/2023, 10:47:58","24,4","44,5","6,15","104960,74"
"15/8/2023, 10:48:03","24,4","44,4","5,14","47925,26"
"15/8/2023, 10:48:08","24,4","44,4","5,97","57610,57"
"15/8/2023, 10:48:14","24,4","44,5","4,65","136382,78"
"15/8/2023, 10:48:18","24,4","44,4","5,19",0
"15/8/2023, 10:48:23","24,4","44,1","4,48","130412,25"
"15/8/2023, 10:48:28","24,4",44,"5,04","80221,28"
"15/8/2023, 10:48:34","24,4","44,1","5,45","124580,73"
"15/8/2023, 10:48:38","24,4","44,1","5,08","95716,04"
"15/8/2023, 10:48:43","24,4","44,1","4,67","62572,51"
"15/8/2023, 10:48:48","24,4",44,"6,36","122797,05"
"15/8/2023, 10:48:54","24,4","44,1","5,39",0
"15/8/2023, 10:48:58","24,4",44,"5,07","10043,32"
"15/8/2023, 10:49:04","24,4","44,1","5,94","137352,14"
"15/8/2023, 10:49:08","24,4","44,1","5,7","108513,34"
"15/8/2023, 10:49:13","24,4",44,"5,82","119442,21"
"15/8/2023, 10:49:19","24,4","44,1","5,25","119169,45"
"15/8/2023, 10:49:23","24,4","44,1","4,98","92631,9"
"15/8/2023, 10:49:28","24,4","44,1","4,97","99761,27"
"15/8/2023, 10:49:33","24,4","44,2","5,51","126280,1"
"15/8/2023, 10:49:38","24,4","44,3","5,38","125522,74"
"15/8/2023, 10:49:43","24,4","44,2","5,63","106909,09"
"15/8/2023, 10:49:48","24,4","44,1","4,97",0
"15/8/2023, 10:49:53","24,4","44,1","5,03","38524,99"
"15/8/2023, 10:49:59","24,4",44,"6,42","103609,55"
"15/8/2023, 10:50:03","24,4","43,9","5,35","83997,27"
"15/8/2023, 10:50:08","24,4","43,8","5,41","100760,75"
"15/8/2023, 10:50:13","24,4","43,8","5,67","98681,42"
"15/8/2023, 10:50:18","24,4","43,9","5,96","100306,55"
"15/8/2023, 10:50:23","24,4",44,"6,43",0
"15/8/2023, 10:50:28","24,4",44,"5,84","84674,98"
"15/8/2023, 10:50:33","24,4",44,"5,71","86340,04"
"15/8/2023, 10:50:38","24,4","43,9","4,97","2386,1"
"15/8/2023, 10:50:43","24,4",44,"5,71","93799,59"
"15/8/2023, 10:50:48","24,4","44,1","5,52",0
"15/8/2023, 10:50:54","24,4","44,2","5,78","94811,96"
"15/8/2023, 10:50:59","24,4","44,2","5,83","81158,22"
"15/8/2023, 10:51:03","24,4","44,2","5,59","85494,36"
"15/8/2023, 10:51:08","24,4","44,2","5,89","100836,02"
"15/8/2023, 10:51:13","24,4","44,3","6,09","89053,76"
"15/8/2023, 10:51:18","24,4","44,3",6,"78041,38"
"15/8/2023, 10:51:23","24,4","44,3","5,47","86815,5"
"15/8/2023, 10:51:29","24,4","44,3","5,85","22802,32"
"15/8/2023, 10:51:34","24,4","44,3","5,51","64997,65"
"15/8/2023, 10:51:38","24,4","44,3","6,03","26956,93"
"15/8/2023, 10:51:43","24,4","44,3","6,42","61593,64"
"15/8/2023, 10:51:49","24,4","45,2","4,97","40601,98"
"15/8/2023, 10:51:53","24,4","46,4","5,55","56275,07"
"15/8/2023, 10:51:58","24,4","46,3","5,28","55492,9"
"15/8/2023, 10:52:03","24,4","45,5","5,22","82079,26"
"15/8/2023, 10:52:08","24,4",45,"5,69",0
"15/8/2023, 10:52:13","24,4","44,7","5,62","79289,37"
"15/8/2023, 10:52:18","24,4","44,5","6,43","77580,71"
"15/8/2023, 10:52:24","24,4","44,3","5,23","78172,56"
"15/8/2023, 10:52:29","24,4","44,2","6,05","78181,09"
"15/8/2023, 10:52:33","24,4","45,4","4,75","77150,21"
"15/8/2023, 10:52:39","24,4","45,9","5,04","77359,97"
"15/8/2023, 10:52:43","24,4","45,9","5,59","89184,91"
"15/8/2023, 10:52:48","24,4","45,6","5,41","76991,05"
"15/8/2023, 10:52:54","24,4","45,4","5,33","77379,19"
"15/8/2023, 10:52:58","24,4","45,2","6,01","73475,17"
"15/8/2023, 10:53:04","24,4","45,3","5,72","49070,08"
"15/8/2023, 10:53:08","24,4","45,2","6,33","43455,72"
"15/8/2023, 10:53:14","24,4",45,"5,62","54390,28"
"15/8/2023, 10:53:18","24,4","44,7","5,43","55473,23"
"15/8/2023, 10:53:23","24,4","44,5","5,51","24452,89"
"15/8/2023, 10:53:29","24,4","44,4","5,69","70453,46"
"15/8/2023, 10:53:34","24,4","44,4","5,19","50807,56"
"15/8/2023, 10:53:38","24,4","44,3","5,29",0
"15/8/2023, 10:53:44","24,5","44,1","5,97","80152,75"
"15/8/2023, 10:53:48","24,4",44,"5,26","17597,68"
"15/8/2023, 10:53:53","24,4","43,9","5,93","68113,95"
"15/8/2023, 10:53:59","24,4","43,9","5,19","68045,99"
"15/8/2023, 10:54:03","24,5","43,9","5,62","67071,85"
"15/8/2023, 10:54:09","24,5","43,8","5,78","66571,3"
"15/8/2023, 10:54:13","24,5","43,9","5,36",0
